x	y	precise_y	difference
+2.5300e-02	+9.7502e-01	+9.7502e-01	-1.2333e-06
+2.5400e-02	+9.7492e-01	+9.7492e-01	-1.2381e-06
+2.5500e-02	+9.7482e-01	+9.7482e-01	-1.2428e-06
+2.5600e-02	+9.7473e-01	+9.7472e-01	-1.2476e-06
+2.5700e-02	+9.7463e-01	+9.7463e-01	-1.2523e-06
+2.5800e-02	+9.7453e-01	+9.7453e-01	-1.2571e-06
+2.5900e-02	+9.7443e-01	+9.7443e-01	-1.2618e-06
+2.6000e-02	+9.7434e-01	+9.7434e-01	-1.2666e-06
+2.6100e-02	+9.7424e-01	+9.7424e-01	-1.2713e-06
+2.6200e-02	+9.7414e-01	+9.7414e-01	-1.2760e-06
+2.6300e-02	+9.7404e-01	+9.7404e-01	-1.2808e-06
+2.6400e-02	+9.7395e-01	+9.7395e-01	-1.2855e-06
+2.6500e-02	+9.7385e-01	+9.7385e-01	-1.2903e-06
+2.6600e-02	+9.7375e-01	+9.7375e-01	-1.2950e-06
+2.6700e-02	+9.7365e-01	+9.7365e-01	-1.2997e-06
+2.6800e-02	+9.7356e-01	+9.7356e-01	-1.3045e-06
+2.6900e-02	+9.7346e-01	+9.7346e-01	-1.3092e-06
+2.7000e-02	+9.7336e-01	+9.7336e-01	-1.3140e-06
+2.7100e-02	+9.7327e-01	+9.7326e-01	-1.3187e-06
+2.7200e-02	+9.7317e-01	+9.7317e-01	-1.3234e-06
+2.7300e-02	+9.7307e-01	+9.7307e-01	-1.3282e-06
+2.7400e-02	+9.7297e-01	+9.7297e-01	-1.3329e-06
+2.7500e-02	+9.7288e-01	+9.7287e-01	-1.3376e-06
+2.7600e-02	+9.7278e-01	+9.7278e-01	-1.3423e-06
+2.7700e-02	+9.7268e-01	+9.7268e-01	-1.3471e-06
+2.7800e-02	+9.7258e-01	+9.7258e-01	-1.3518e-06
+2.7900e-02	+9.7249e-01	+9.7249e-01	-1.3565e-06
+2.8000e-02	+9.7239e-01	+9.7239e-01	-1.3613e-06
+2.8100e-02	+9.7229e-01	+9.7229e-01	-1.3660e-06
+2.8200e-02	+9.7220e-01	+9.7219e-01	-1.3707e-06
+2.8300e-02	+9.7210e-01	+9.7210e-01	-1.3754e-06
+2.8400e-02	+9.7200e-01	+9.7200e-01	-1.3801e-06
+2.8500e-02	+9.7190e-01	+9.7190e-01	-1.3849e-06
+2.8600e-02	+9.7181e-01	+9.7181e-01	-1.3896e-06
+2.8700e-02	+9.7171e-01	+9.7171e-01	-1.3943e-06
+2.8800e-02	+9.7161e-01	+9.7161e-01	-1.3990e-06
+2.8900e-02	+9.7152e-01	+9.7151e-01	-1.4037e-06
+2.9000e-02	+9.7142e-01	+9.7142e-01	-1.4085e-06
+2.9100e-02	+9.7132e-01	+9.7132e-01	-1.4132e-06
+2.9200e-02	+9.7122e-01	+9.7122e-01	-1.4179e-06
+2.9300e-02	+9.7113e-01	+9.7113e-01	-1.4226e-06
+2.9400e-02	+9.7103e-01	+9.7103e-01	-1.4273e-06
+2.9500e-02	+9.7093e-01	+9.7093e-01	-1.4320e-06
+2.9600e-02	+9.7084e-01	+9.7083e-01	-1.4367e-06
+2.9700e-02	+9.7074e-01	+9.7074e-01	-1.4414e-06
+2.9800e-02	+9.7064e-01	+9.7064e-01	-1.4462e-06
+2.9900e-02	+9.7054e-01	+9.7054e-01	-1.4509e-06
+3.0000e-02	+9.7045e-01	+9.7045e-01	-1.4556e-06
